v8-version,7,6,303,29,-node.15,0
code-creation,Builtin,3,2953,0x12efe40,197,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,2960,0x12eff20,197,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,2967,0x12f0000,197,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,2973,0x12f00e0,209,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,2981,0x12f01c0,209,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,2988,0x12f02a0,529,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,2994,0x12f04c0,505,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,3001,0x12f06c0,441,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,3008,0x12f0880,405,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,3015,0x12f0a20,441,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,3022,0x12f0be0,405,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,3029,0x12f0d80,453,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,3038,0x12f0f60,417,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,3048,0x12f1120,68,ArrayNArgumentsConstructor
code-creation,Builtin,3,3055,0x12f1180,5,InternalArrayConstructor
code-creation,Builtin,3,3061,0x12f11a0,5,InternalArrayConstructorImpl
code-creation,Builtin,3,3070,0x12f11c0,189,InternalArrayNoArgumentConstructor_Packed
code-creation,Builtin,3,3079,0x12f1280,12,ArrayConcat
code-creation,Builtin,3,3084,0x12f12a0,150,ArrayIsArray
code-creation,Builtin,3,3092,0x12f1340,12,ArrayPrototypeFill
code-creation,Builtin,3,3103,0x12f1360,4032,ArrayFrom
code-creation,Builtin,3,3111,0x12f2340,958,ArrayIncludesSmiOrObject
code-creation,Builtin,3,3117,0x12f2700,124,ArrayIncludesPackedDoubles
code-creation,Builtin,3,3123,0x12f2780,180,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,3129,0x12f2840,581,ArrayIncludes
code-creation,Builtin,3,3134,0x12f2aa0,870,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,3139,0x12f2e20,108,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,3145,0x12f2ea0,108,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,3150,0x12f2f20,589,ArrayIndexOf
code-creation,Builtin,3,3157,0x12f3180,12,ArrayPop
code-creation,Builtin,3,3161,0x12f31a0,704,ArrayPrototypePop
code-creation,Builtin,3,3167,0x12f3480,12,ArrayPush
