v8-version,7,6,303,29,-node.15,0
code-creation,Builtin,3,1804,0x12f0880,405,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,1807,0x12f0a20,441,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,1811,0x12f0be0,405,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,1814,0x12f0d80,453,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,1817,0x12f0f60,417,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,1821,0x12f1120,68,ArrayNArgumentsConstructor
code-creation,Builtin,3,1823,0x12f1180,5,InternalArrayConstructor
code-creation,Builtin,3,1826,0x12f11a0,5,InternalArrayConstructorImpl
code-creation,Builtin,3,1828,0x12f11c0,189,InternalArrayNoArgumentConstructor_Packed
code-creation,Builtin,3,1831,0x12f1280,12,ArrayConcat
code-creation,Builtin,3,1833,0x12f12a0,150,ArrayIsArray
code-creation,Builtin,3,1836,0x12f1340,12,ArrayPrototypeFill
code-creation,Builtin,3,1838,0x12f1360,4032,ArrayFrom
code-creation,Builtin,3,1840,0x12f2340,958,ArrayIncludesSmiOrObject
code-creation,Builtin,3,1843,0x12f2700,124,ArrayIncludesPackedDoubles
code-creation,Builtin,3,1845,0x12f2780,180,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,1848,0x12f2840,581,ArrayIncludes
code-creation,Builtin,3,1850,0x12f2aa0,870,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,1852,0x12f2e20,108,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,1855,0x12f2ea0,108,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,1857,0x12f2f20,589,ArrayIndexOf
code-creation,Builtin,3,1860,0x12f3180,12,ArrayPop
code-creation,Builtin,3,1862,0x12f31a0,704,ArrayPrototypePop
code-creation,Builtin,3,1864,0x12f3480,12,ArrayPush
code-creation,Builtin,3,1866,0x12f34a0,2790,ArrayPrototypePush
code-creation,Builtin,3,1869,0x12f3fa0,12,ArrayShift
code-creation,Builtin,3,1871,0x12f3fc0,12,ArrayUnshift
code-creation,Builtin,3,1873,0x12f3fe0,1174,CloneFastJSArray
code-creation,Builtin,3,1876,0x12f4480,2644,CloneFastJSArrayFillingHoles
code-creation,Builtin,3,1878,0x12f4ee0,1170,ExtractFastJSArray
code-creation,Builtin,3,1880,0x12f5380,307,ArrayPrototypeEntries
code-creation,Builtin,3,1883,0x12f54c0,299,ArrayPrototypeKeys
code-creation,Builtin,3,1885,0x12f5600,307,ArrayPrototypeValues
code-creation,Builtin,3,1888,0x12f5740,4576,ArrayIteratorPrototypeNext
code-creation,Builtin,3,1890,0x12f6940,3920,FlattenIntoArray
code-creation,Builtin,3,1893,0x12f78a0,3884,FlatMapIntoArray
code-creation,Builtin,3,1895,0x12f87e0,508,ArrayPrototypeFlat
code-creation,Builtin,3,1897,0x12f89e0,556,ArrayPrototypeFlatMap
code-creation,Builtin,3,1900,0x12f8c20,12,ArrayBufferConstructor
code-creation,Builtin,3,1902,0x12f8c40,12,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,1905,0x12f8c60,12,ArrayBufferPrototypeGetByteLength
code-creation,Builtin,3,1908,0x12f8c80,12,ArrayBufferIsView
